Label	ID	Text
0	100	これだけヒーローが出ていながら、殆どのキャラに見せ場を持たせている。これは凄い演出だと思います。色々な謎をバラ撒き終わってますし、次回作が楽しみですね。アントマンとホークアイが出てなかったけど、何か伏線があるのかな？
1	20	今回のはパンチがない。
1	20	グダグダな感じと下品なセリフ。あかんわ～
0	100	今までのアベンジャーズシリーズでこれほど
0	100	この映画はMARVELの最高演出だ
1	20	最初っから最後までただ殴り合っているだけの映画です。
0	100	公開当時に鑑賞して以来、十数年ぶりに観た。デンゼルワシントンの映画が好きになったきっかけの映画です。 感動ありアクションあり、ドラマあり、とデンゼル最高傑作だと思ってます！ド派手にドンパチしまくるわけではないですが、徐々に追いつめて行くデンゼルがかっこよすぎです！デンゼル作品が好きなら是非！！
0	100	久々に感動した映画でした
1	20	ボリュームを馬鹿のように上げてもセリフが全く聞き取れない。芸術性を高めるため？に録音レベルをわざと下げている？？のなら全く話にならない。まともな作品とは言えない。視聴者をバカにしている。最終的にこんなクズ作品に仕上げられて脚本家、出演した俳優、撮影した方などがかわいそうだ。
0	100	２時間半、作品世界に引き込まれてあっという間でした。余韻の残る良作です。なんというか、観客の感受性に委ねられているというか。ミステリーとしても、人間の業とか罪を描いたドラマとしても、よくできてると思う。
0	100	わたし好みの映画です。サイコな感じ。
1	40	ブラピのセブンを思い出す
0	100	こんな良い映画久しぶり！
0	100	何回見ても飽きない！
1	40	アクションもすごいし衣装もメッチャッ気合入ったおしゃれっぷり。私ってかっこいいでしょうなナルシスト演技。タバコと飲酒のシーンが多く出演者が何かやる前に吸うわ、くわえタバコだわだし、何か動いたあとは必ず飲酒シーンでどっちもやらない私は見ていて胸がムカつき具合が悪くなる始末。アンニュイな動きと昔風の暗い画面でのめり込めずに終わった。
1	20	簡潔に言うと・・・・残念な作品です。ナタリー・ポートマンの演技には、文句なし！　素晴らしい。しかし、個人にもよるが　映画としての魅力は無い。演技が皆素晴らしいだけに、残念です。
1	40	面白いです。でもテレビで見ても良いです。
0	100	本当に映画ってやつ。ベスト3に入ります。
0	100	噂ではラストがすごいと聞いてたので、理解力が求められる映画と思ってたのですが、観やすい映画でした。話がよくできてよかった。
